                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3122,                 3.9078,                 4.1339,                0.00062,                0.03057,                0.00044,                0.00011,                  3.454,                 4.5412,                 4.2112,             0.00054592,             0.00054592,             0.00054592
                      2,                 2.7069,                 2.7396,                 3.1394,                0.00062,                0.01943,                0.00039,                  9e-05,                 3.4212,                 4.4039,                 4.2678,              0.0010907,              0.0010907,              0.0010907
                      3,                 2.2563,                 2.1744,                 2.6474,                0.73414,                0.17102,                 0.1675,                0.07446,                 2.2295,                 2.8252,                 3.0354,              0.0016244,              0.0016244,              0.0016244
                      4,                 1.8873,                 1.7099,                 2.3163,                0.91134,                0.36937,                0.41252,                0.24114,                 1.5153,                  1.439,                 1.9709,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6149,                 1.4287,                 2.0245,                0.86876,                0.33312,                0.36129,                0.20554,                 1.6895,                  1.777,                 1.9856,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.4774,                 1.2709,                 1.8614,                 0.9034,                0.40318,                0.45104,                0.31829,                 1.2584,                 1.1759,                 1.5844,               0.001601,               0.001601,               0.001601
