                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95339,                 0.6288,                  1.159,                0.92829,                0.86813,                0.91691,                0.64495,                0.88897,                0.55291,                 1.0442,              0.0011224,              0.0011224,              0.0011224
                     36,                0.95218,                0.63286,                 1.1532,                0.91125,                0.88236,                0.91829,                 0.6529,                 0.8826,                0.58464,                 1.0443,              0.0011059,              0.0011059,              0.0011059
                     37,                0.95473,                0.61655,                 1.1515,                0.93375,                0.85114,                0.92176,                0.65092,                0.87174,                0.54392,                 1.0278,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.9544,                0.61338,                 1.1517,                0.92608,                0.88467,                0.92797,                0.65719,                0.86979,                0.53125,                 1.0239,              0.0010729,              0.0010729,              0.0010729
                     39,                0.93442,                0.61114,                  1.135,                0.93009,                0.86935,                0.92389,                0.66684,                0.83608,                0.55063,                 1.0207,              0.0010564,              0.0010564,              0.0010564
                     40,                  0.941,                0.60939,                 1.1384,                0.92029,                0.87419,                0.92371,                0.65415,                 0.8592,                 0.5272,                 1.0226,              0.0010399,              0.0010399,              0.0010399
                     41,                0.91931,                0.59334,                 1.1219,                0.92268,                0.88731,                0.92745,                0.67238,                0.84719,                0.51539,                 1.0154,              0.0010234,              0.0010234,              0.0010234
                     42,                0.92006,                0.58018,                 1.1213,                0.93215,                0.88058,                0.92654,                0.66955,                0.85702,                0.51041,                 1.0206,              0.0010069,              0.0010069,              0.0010069
                     43,                0.91977,                 0.5907,                 1.1119,                0.92743,                0.87931,                0.92799,                0.67013,                0.83854,                 0.5192,                 1.0132,             0.00099036,             0.00099036,             0.00099036
                     44,                0.91255,                0.58659,                 1.1183,                0.92224,                0.87472,                0.92772,                0.67135,                0.83855,                0.51954,                  1.007,             0.00097386,             0.00097386,             0.00097386
                     45,                0.92204,                0.58264,                 1.1287,                0.93212,                0.88469,                0.93226,                0.67318,                0.84749,                0.51272,                 1.0126,             0.00095736,             0.00095736,             0.00095736
                     46,                0.89396,                0.56155,                 1.1032,                 0.9293,                0.88421,                0.93204,                0.67663,                0.84822,                0.52478,                 1.0098,             0.00094085,             0.00094085,             0.00094085
                     47,                0.88794,                0.56492,                 1.0993,                0.93848,                0.85235,                 0.9302,                0.68504,                0.83057,                0.58263,                 1.0132,             0.00092435,             0.00092435,             0.00092435
                     48,                0.90374,                0.58586,                 1.1055,                0.92866,                0.88687,                0.92998,                0.66216,                0.85516,                0.51352,                 1.0187,             0.00090785,             0.00090785,             0.00090785
                     49,                0.89833,                0.57083,                 1.1061,                0.93002,                0.88926,                0.93263,                0.68785,                0.82277,                0.49109,                0.99943,             0.00089134,             0.00089134,             0.00089134
                     50,                0.89643,                0.57683,                 1.1029,                0.93399,                0.89311,                0.93485,                0.68688,                 0.8185,                0.49885,                 1.0002,             0.00087484,             0.00087484,             0.00087484
                     51,                 0.8909,                0.56314,                 1.1027,                0.93677,                0.89664,                0.93931,                0.70162,                0.79421,                0.47618,                0.98676,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.8739,                 0.5565,                 1.0967,                0.94491,                0.89411,                0.93758,                0.68751,                0.83636,                  0.486,                 1.0033,             0.00084184,             0.00084184,             0.00084184
                     53,                0.87694,                 0.5433,                 1.0872,                 0.9493,                0.89324,                0.93875,                0.69958,                 0.8136,                0.47605,                0.99334,             0.00082533,             0.00082533,             0.00082533
                     54,                0.88153,                0.55482,                 1.1001,                0.93498,                0.88331,                0.93671,                0.68964,                0.80054,                0.52306,                0.99042,             0.00080883,             0.00080883,             0.00080883
                     55,                0.87277,                0.55976,                 1.0911,                 0.9379,                0.89662,                0.93696,                0.69863,                0.78934,                0.47619,                0.98385,             0.00079233,             0.00079233,             0.00079233
                     56,                 0.8701,                0.54202,                 1.0858,                 0.9476,                0.89482,                0.93674,                0.70266,                0.79859,                0.46999,                0.98384,             0.00077582,             0.00077582,             0.00077582
                     57,                0.86647,                0.53677,                 1.0758,                0.93322,                0.90198,                0.93997,                 0.7027,                0.79585,                0.46645,                0.98241,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.8582,                0.53608,                 1.0786,                0.94047,                0.89851,                0.94032,                0.70671,                0.77792,                0.46253,                 0.9731,             0.00074282,             0.00074282,             0.00074282
                     59,                0.85949,                0.53378,                 1.0749,                0.95044,                0.89127,                0.94128,                0.70551,                0.77797,                0.46672,                0.97193,             0.00072631,             0.00072631,             0.00072631
                     60,                0.85922,                0.52955,                 1.0801,                0.93949,                0.89961,                0.93926,                0.69104,                0.80772,                0.46862,                0.98248,             0.00070981,             0.00070981,             0.00070981
                     61,                0.85649,                0.52601,                 1.0724,                0.94158,                0.90218,                0.93832,                0.70078,                0.78921,                0.46566,                 0.9795,             0.00069331,             0.00069331,             0.00069331
                     62,                0.84622,                0.54239,                 1.0661,                0.93291,                0.90985,                0.94177,                0.70199,                0.78964,                0.46466,                0.97456,              0.0006768,              0.0006768,              0.0006768
                     63,                 0.8466,                0.52146,                 1.0721,                0.94853,                0.89813,                0.94186,                0.71413,                 0.7638,                0.44627,                0.97112,              0.0006603,              0.0006603,              0.0006603
                     64,                0.84933,                0.53086,                 1.0793,                0.94688,                0.89878,                0.94067,                 0.7054,                0.76994,                0.46499,                0.96842,              0.0006438,              0.0006438,              0.0006438
                     65,                0.83533,                0.52037,                 1.0633,                0.93843,                0.89451,                 0.9383,                0.71038,                0.77162,                0.45955,                 0.9679,             0.00062729,             0.00062729,             0.00062729
                     66,                0.83848,                0.52999,                 1.0679,                 0.9312,                0.89728,                0.94263,                0.70991,                0.77345,                0.47219,                0.97024,             0.00061079,             0.00061079,             0.00061079
                     67,                 0.8332,                 0.5156,                 1.0533,                0.93689,                0.90776,                0.94328,                0.71242,                0.76157,                0.45075,                0.96347,             0.00059429,             0.00059429,             0.00059429
                     68,                0.83916,                 0.5124,                 1.0616,                 0.9384,                0.91096,                0.94669,                 0.7023,                0.78266,                0.45305,                0.97469,             0.00057778,             0.00057778,             0.00057778
                     69,                0.82176,                0.51261,                 1.0546,                0.92493,                0.91312,                0.94237,                0.71226,                0.76321,                0.45219,                0.96122,             0.00056128,             0.00056128,             0.00056128
                     70,                0.84247,                0.51522,                 1.0622,                0.94316,                0.90979,                0.94514,                0.71973,                0.76784,                0.45805,                0.96567,             0.00054478,             0.00054478,             0.00054478
                     71,                0.84621,                0.52007,                  1.074,                0.93484,                0.91587,                0.94504,                0.72915,                  0.737,                0.43574,                0.95611,             0.00052827,             0.00052827,             0.00052827
                     72,                0.83889,                0.50887,                 1.0582,                0.94685,                0.90783,                0.94618,                 0.7146,                0.75912,                0.44199,                 0.9642,             0.00051177,             0.00051177,             0.00051177
                     73,                0.82766,                0.49752,                 1.0567,                0.94482,                0.91224,                0.94957,                0.72217,                0.74526,                0.43193,                0.95796,             0.00049527,             0.00049527,             0.00049527
                     74,                0.82273,                0.50298,                 1.0564,                0.94696,                0.91496,                0.94914,                0.73182,                0.73891,                0.42351,                0.95513,             0.00047876,             0.00047876,             0.00047876
                     75,                0.80665,                0.48486,                 1.0444,                0.95015,                 0.9055,                0.94937,                0.72863,                0.73531,                0.42811,                0.95105,             0.00046226,             0.00046226,             0.00046226
                     76,                0.82185,                0.50185,                 1.0572,                0.94861,                0.90398,                0.94674,                0.73067,                 0.7319,                0.42183,                 0.9528,             0.00044576,             0.00044576,             0.00044576
                     77,                0.80748,                0.48487,                 1.0437,                0.93859,                0.91735,                0.94814,                0.73515,                0.72712,                0.41681,                0.95054,             0.00042925,             0.00042925,             0.00042925
                     78,                0.80175,                0.49313,                 1.0428,                0.95164,                0.91032,                0.95093,                0.72781,                0.73806,                0.42719,                0.95439,             0.00041275,             0.00041275,             0.00041275
                     79,                0.80059,                0.47976,                 1.0385,                0.93817,                0.92346,                0.95024,                0.72673,                0.73239,                0.42168,                0.95288,             0.00039625,             0.00039625,             0.00039625
                     80,                    0.8,                0.48755,                 1.0461,                0.95029,                0.91365,                 0.9508,                 0.7359,                0.72658,                0.41815,                0.94818,             0.00037974,             0.00037974,             0.00037974
                     81,                0.79611,                0.48662,                 1.0407,                0.94705,                0.91495,                0.94921,                0.73234,                0.72361,                0.41623,                0.94637,             0.00036324,             0.00036324,             0.00036324
                     82,                0.78336,                0.47665,                 1.0337,                0.95286,                0.91365,                0.95161,                0.73323,                0.73099,                0.41456,                0.94755,             0.00034674,             0.00034674,             0.00034674
                     83,                0.79755,                0.48745,                 1.0419,                0.95239,                0.90917,                0.95009,                0.73579,                0.72662,                0.41679,                0.94667,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.7982,                0.48582,                 1.0486,                0.94426,                0.91833,                0.95086,                0.73903,                0.72832,                0.42177,                0.94382,             0.00031373,             0.00031373,             0.00031373
                     85,                0.78845,                0.47795,                 1.0355,                0.94784,                0.91617,                0.95099,                 0.7392,                 0.7261,                0.41415,                0.94634,             0.00029723,             0.00029723,             0.00029723
                     86,                0.78949,                0.47461,                 1.0333,                0.94766,                 0.9202,                0.95017,                 0.7381,                0.71729,                0.40508,                 0.9422,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.7696,                0.47013,                 1.0267,                0.95202,                0.91516,                0.95257,                0.74116,                0.71377,                0.40241,                0.94049,             0.00026422,             0.00026422,             0.00026422
                     88,                0.76906,                0.46114,                 1.0176,                0.95277,                0.90944,                0.95106,                0.73908,                0.71521,                0.39945,                0.93891,             0.00024772,             0.00024772,             0.00024772
                     89,                0.78664,                0.47447,                 1.0295,                0.94762,                0.92379,                0.95209,                0.74187,                0.71228,                0.40036,                0.93672,             0.00023121,             0.00023121,             0.00023121
                     90,                0.76105,                 0.4576,                 1.0266,                0.95084,                0.91175,                0.95181,                0.74468,                0.70436,                0.40088,                0.93562,             0.00021471,             0.00021471,             0.00021471
                     91,                0.74881,                0.44676,                0.97708,                0.94291,                 0.9164,                0.95084,                0.73364,                0.71334,                0.40641,                0.93666,             0.00019821,             0.00019821,             0.00019821
                     92,                0.73984,                0.42836,                 0.9694,                0.94522,                0.92396,                0.95197,                0.74276,                0.71402,                0.39973,                0.93655,              0.0001817,              0.0001817,              0.0001817
                     93,                0.72834,                 0.4265,                 0.9677,                0.94602,                0.92535,                0.95084,                0.74038,                0.70806,                0.39841,                0.93373,              0.0001652,              0.0001652,              0.0001652
                     94,                0.72602,                0.43351,                0.96849,                 0.9464,                0.92675,                0.95262,                0.74488,                0.70411,                 0.3956,                0.93066,              0.0001487,              0.0001487,              0.0001487
                     95,                0.73118,                0.42715,                0.97164,                0.93896,                0.93062,                0.95236,                0.74299,                0.71231,                0.40126,                 0.9374,             0.00013219,             0.00013219,             0.00013219
                     96,                0.72423,                 0.4206,                0.96846,                0.94387,                0.92702,                0.95201,                0.73983,                0.70588,                0.39415,                0.93272,             0.00011569,             0.00011569,             0.00011569
                     97,                0.72052,                0.42011,                0.95827,                0.94641,                0.92787,                0.95546,                0.74555,                0.69904,                0.39026,                0.93174,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.73103,                0.41752,                0.96672,                0.94482,                0.93045,                0.95316,                 0.7487,                0.69281,                 0.3839,                0.92811,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.71387,                0.41442,                0.96465,                0.94616,                0.92779,                0.95243,                0.74774,                0.69338,                0.38258,                0.92936,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.71234,                0.41056,                 0.9629,                0.94525,                0.93138,                 0.9528,                0.74739,                0.69338,                0.38128,                0.92909,             4.9677e-05,             4.9677e-05,             4.9677e-05
